Name,Price,House,Rent0,Rent1,Rent2,Rent3,Rent4,RentH,Mortgage,
Mediterranean Avenue/Old Kent Rd,60,50,2,10,30,90,160,250,30,
Baltic Avenue/Whitechapel Rd,60,50,4,20,60,180,320,450,30,
"Oriental Avenue/The Angel, Islington",100,50,6,30,90,270,400,550,50,
Vermont Avenue/Euston Rd,100,50,6,30,90,270,400,550,50,
Connecticut Avenue/Pentonville Rd,120,50,8,40,100,300,450,600,60,
St. Charles Place/Pall Mall,140,100,10,50,150,450,625,750,70,
States Avenue/Whitehall,140,100,10,50,150,450,625,750,70,
Virginia Avenue/Northumberland Ave,160,100,12,60,180,500,700,900,80,
St. James Place/Bow St,180,100,14,70,200,550,750,950,90,
Tennessee Avenue/Marlborough St,180,100,14,70,200,550,750,950,90,
New York Avenue/Vine St,200,100,16,80,220,600,800,1000,100,
Kentucky Avenue/Strand,220,150,18,90,250,700,875,1050,110,
Indiana Avenue/Fleet St,220,150,18,90,250,700,875,1050,110,
Illinois Avenue/Trafalgar Sq,240,150,20,100,300,750,925,1100,120,
Atlantic Avenue/Leicester Sq,260,150,22,110,330,800,975,1150,130,
Ventnor Avenue/Coventry St,260,150,22,110,330,800,975,1150,130,
* Marvin Gardens [Marven Gardens]/Piccadilly,280,150,24,120,360,850,1025,1200,140,
Pacific Avenue/Regent St,300,200,26,130,390,900,1100,1275,150,
* North Carolina Avenue [South Carolina Avenue]/Oxford St,300,200,26,130,390,900,1100,1275,150,
Pennsylvania Avenue/Bond St,320,200,28,150,450,1000,1200,1400,160,
Park Place/Park Lane,350,200,35,175,500,1100,1300,1500,175,
Boardwalk/Mayfair,400,200,50,200,600,1400,1700,2000,200,
,,,,,,,,,,
